Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,1,1,0.933,0.5,0.467,0,0.033,0,0.231,0.417,0.214,2.2,2.067,1
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.5,0.875,1,0.406,0.406,0.063,0.125,0,0.296,0.603,0.653,1.5,1.5,1
367,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,1,0.769,1.538,0.577,0.385,0,0.038,0,0.148,0.469,0.5,1.692,2.462,1
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.688,1,1,0.219,0.719,0.031,0.031,0,0.341,0.278,0.425,2.063,2.313,1
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.813,1,1,0.156,0.75,0,0.031,0.063,0.019,0.116,0.45,1.938,1.5,1
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.867,0.933,0.933,0.433,0.533,0,0.033,0,0.06,0.317,0.383,1.267,1.133,1
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.375,0.875,0.313,0.143,0.821,0.036,0,0,0.169,0.078,0.5,2.063,1.625,1
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.313,1,0.875,0.031,0.875,0,0.094,0,0.279,0.259,0.981,1.188,1.875,1
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.353,0.647,1,0.188,0.813,0,0,0,0.192,0.241,0.547,2.176,1.941,1
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.647,0.941,1.471,0.125,0.875,0,0,0,0.191,0.176,0.544,2.235,1.412,1
391,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.462,1,1.154,0.333,0.625,0,0.042,0,0.212,0.269,0.333,1.769,1.077,1
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.333,1,0.467,0.2,0.667,0.067,0.067,0,0.238,0.3,0.583,1.733,1.2,1
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.333,0.867,0.467,0.3,0.6,0,0.1,0,0.194,0.37,1.058,1.333,1.2,1
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.412,1,0.765,0.353,0.529,0.088,0.029,0,0.299,0.403,0.531,1.706,1.176,1
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.4,1,0.2,0.2,0.5,0,0.3,0,0.457,0.553,0.125,1.067,1.6,1
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.333,0.778,1,0.583,0.361,0,0.056,0,0.163,0.514,0.75,1.611,0.778,1
397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.5,1,0.909,0.417,0.583,0,0,0,0.192,0.396,0.583,1.083,1.583,1
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.733,1,1,0,0.964,0,0.036,0,0.187,0.12,0.583,2.8,2.533,1
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,Ratlam,MP,0.9,1,1,0,1,0,0,0,0.015,0.015,0.434,1.3,1.55,1
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.294,0.706,1,0,1,0,0,0,0.178,0.194,0.429,2.294,2.294,1
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.647,0.941,1,0.133,0.867,0,0,0,0.138,0.147,0.517,2.353,2.059,1
